Timestamp,Application,Environment,Region,Response_Time_ms,P95_Latency_ms,Request_Throughput_RPM,Error_Rate_%,HTTP_4XX_Count,HTTP_5XX_Count,CPU_Usage_%,Memory_Usage_%,Availability_%,Active_Users,Severity,Event,Health_Status
01-05-2026 00:00,Citrix Workspace,Production,Mumbai,640,737,8773,4.65,23,9,70,70,99.34,2368,Warning,Database Response Slow,Warning
01-05-2026 00:00,Flipkart,Production,Mumbai,479,655,11691,1.66,39,6,70,74,99.64,5347,Warning,High Login Failures,Warning
01-05-2026 00:00,Swiggy,Production,Hyderabad,320,528,16655,0.67,3,0,27,65,99.99,3991,Info,Normal Operation,Healthy
01-05-2026 00:00,Blinkit,Production,Bengaluru,205,380,10473,0.31,8,1,60,59,99.99,3487,Info,Health Check Completed,Healthy
01-05-2026 00:00,Microsoft Teams,Production,Hyderabad,266,466,9375,0.12,7,0,42,36,99.99,2895,Info,Service Running Normally,Healthy
01-05-2026 00:00,Outlook Web,Production,Mumbai,163,375,12198,0.55,5,1,60,42,99.99,3026,Info,Service Running Normally,Healthy
01-05-2026 00:00,Payment Gateway,Production,Hyderabad,277,441,6272,0.17,8,2,36,62,99.99,1567,Info,Normal Operation,Healthy
01-05-2026 00:00,Inventory Service,Production,Bengaluru,234,406,3411,0.33,3,0,47,66,99.99,914,Info,Health Check Completed,Healthy
01-05-2026 00:00,Order Service,Production,Mumbai,309,469,4244,0.24,0,1,43,38,99.99,2158,Info,Cache Refresh,Healthy
01-05-2026 00:00,Authentication Service,Production,Mumbai,182,296,9714,0.15,8,2,55,38,99.99,2454,Info,Service Running Normally,Healthy
01-05-2026 00:30,Citrix Workspace,Production,Bengaluru,252,382,5500,0.49,4,0,63,62,99.99,2577,Info,Routine Monitoring,Healthy
01-05-2026 00:30,Flipkart,Production,Mumbai,325,420,10661,0.29,6,1,26,51,99.99,5028,Info,Health Check Completed,Healthy
01-05-2026 00:30,Swiggy,Production,Hyderabad,310,453,10979,0.16,4,0,26,63,99.99,3991,Info,Normal Operation,Healthy
01-05-2026 00:30,Blinkit,Production,Mumbai,289,478,12354,0.33,8,0,36,46,99.99,3170,Info,Service Running Normally,Healthy
01-05-2026 00:30,Microsoft Teams,Production,Bengaluru,210,424,7392,0.62,3,1,54,39,99.99,2896,Info,Health Check Completed,Healthy
01-05-2026 00:30,Outlook Web,Production,Bengaluru,589,808,8753,4.78,19,23,86,89,99.54,2859,Warning,High API Response Time,Warning
01-05-2026 00:30,Payment Gateway,Production,Bengaluru,270,490,6404,0.54,1,0,47,39,99.99,1706,Info,Routine Monitoring,Healthy
01-05-2026 00:30,Inventory Service,Production,Hyderabad,257,419,2789,0.53,7,2,64,36,99.99,1417,Info,Routine Monitoring,Healthy
01-05-2026 00:30,Order Service,Production,Hyderabad,235,397,6932,0.58,6,1,27,50,99.99,2544,Info,Routine Monitoring,Healthy
01-05-2026 00:30,Authentication Service,Production,Hyderabad,172,390,8123,0.42,3,1,27,65,99.99,2387,Info,Service Running Normally,Healthy
01-05-2026 01:00,Citrix Workspace,Production,Bengaluru,253,314,5401,0.34,6,2,40,65,99.99,2468,Info,Background Synchronization,Healthy
01-05-2026 01:00,Flipkart,Production,Bengaluru,272,359,21090,0.11,6,2,30,70,99.99,5048,Info,Cache Refresh,Healthy
01-05-2026 01:00,Swiggy,UAT,Mumbai,292,434,12171,0.49,4,0,46,58,99.99,4010,Info,Health Check Completed,Healthy
01-05-2026 01:00,Blinkit,Production,Hyderabad,256,435,9726,0.57,6,0,37,50,99.99,3519,Info,Service Running Normally,Healthy
01-05-2026 01:00,Microsoft Teams,Production,Mumbai,239,393,5143,0.25,3,0,36,59,99.99,2787,Info,Health Check Completed,Healthy
01-05-2026 01:00,Outlook Web,Production,Mumbai,598,692,9848,4.51,21,15,76,84,99.75,3107,Warning,Network Latency Increased,Warning
01-05-2026 01:00,Payment Gateway,Production,Mumbai,281,490,7301,0.71,3,2,37,61,99.99,1816,Info,Health Check Completed,Healthy
01-05-2026 01:00,Inventory Service,Production,Hyderabad,1560,1706,3241,8.69,63,223,99,96,95.61,1496,Critical,Disk Space Critical,Critical
01-05-2026 01:00,Order Service,Production,Bengaluru,223,298,4616,0.43,3,1,29,39,99.99,2109,Info,Service Running Normally,Healthy
01-05-2026 01:00,Authentication Service,Production,Mumbai,163,272,9608,0.22,8,1,35,37,99.99,2709,Info,Cache Refresh,Healthy
01-05-2026 01:30,Citrix Workspace,Production,Bengaluru,254,358,4685,0.08,8,2,39,48,99.99,2532,Info,Cache Refresh,Healthy
01-05-2026 01:30,Flipkart,UAT,Hyderabad,285,424,13859,0.56,8,2,53,36,99.99,5065,Info,Health Check Completed,Healthy
01-05-2026 01:30,Swiggy,UAT,Hyderabad,232,333,9341,0.51,0,1,25,57,99.99,4175,Info,Background Synchronization,Healthy
01-05-2026 01:30,Blinkit,Production,Bengaluru,245,458,7623,0.47,5,0,38,49,99.99,3422,Info,Routine Monitoring,Healthy
01-05-2026 01:30,Microsoft Teams,Production,Hyderabad,456,673,10301,1.8,31,32,86,79,99.66,3086,Warning,High Login Failures,Warning
01-05-2026 01:30,Outlook Web,Production,Bengaluru,195,392,11262,0.67,7,1,41,46,99.99,2917,Info,Health Check Completed,Healthy
01-05-2026 01:30,Payment Gateway,Production,Bengaluru,655,839,4925,3.33,24,17,70,88,99.64,2100,Warning,High API Response Time,Warning
01-05-2026 01:30,Inventory Service,Production,Mumbai,275,495,2748,0.15,7,1,26,58,99.99,956,Info,Cache Refresh,Healthy
01-05-2026 01:30,Order Service,Production,Bengaluru,283,428,9300,0.24,1,0,31,58,99.99,2362,Info,Routine Monitoring,Healthy
01-05-2026 01:30,Authentication Service,Production,Hyderabad,168,283,7747,0.61,1,2,65,43,99.99,2554,Info,Cache Refresh,Healthy
01-05-2026 02:00,Citrix Workspace,Production,Hyderabad,1245,1336,9785,10.03,46,65,94,88,97.41,2707,Critical,Checkout API Timeout,Critical
01-05-2026 02:00,Flipkart,Production,Bengaluru,312,465,11007,0.43,5,1,63,63,99.99,5138,Info,Background Synchronization,Healthy
01-05-2026 02:00,Swiggy,Production,Mumbai,266,475,15352,0.64,7,0,57,49,99.99,4267,Info,Normal Operation,Healthy
01-05-2026 02:00,Blinkit,Production,Mumbai,221,332,6857,0.57,3,0,25,52,99.99,3169,Info,Cache Refresh,Healthy
01-05-2026 02:00,Microsoft Teams,Production,Mumbai,181,293,9489,0.45,6,0,60,42,99.99,2726,Info,Normal Operation,Healthy
01-05-2026 02:00,Outlook Web,Production,Bengaluru,216,409,9688,0.48,3,1,40,49,99.99,2787,Info,Health Check Completed,Healthy
01-05-2026 02:00,Payment Gateway,Production,Hyderabad,330,538,5349,0.36,7,0,45,57,99.99,1809,Info,Background Synchronization,Healthy
01-05-2026 02:00,Inventory Service,Production,Bengaluru,262,447,3310,0.25,4,1,41,65,99.99,981,Info,Health Check Completed,Healthy
01-05-2026 02:00,Order Service,Production,Hyderabad,592,664,5811,3.65,24,19,82,73,99.72,2154,Warning,Network Latency Increased,Warning
01-05-2026 02:00,Authentication Service,Production,Mumbai,177,314,7849,0.47,3,0,65,65,99.99,2408,Info,Cache Refresh,Healthy
01-05-2026 02:30,Citrix Workspace,Production,Hyderabad,1664,1772,6514,7.81,74,146,97,91,97.38,2635,Critical,Authentication Service Unavailable,Critical
01-05-2026 02:30,Flipkart,Production,Bengaluru,292,372,20630,0.33,2,1,55,44,99.99,5277,Info,Service Running Normally,Healthy
01-05-2026 02:30,Swiggy,Production,Hyderabad,315,444,16535,0.78,6,0,60,59,99.99,4135,Info,Health Check Completed,Healthy
01-05-2026 02:30,Blinkit,Production,Bengaluru,206,397,7468,0.67,7,2,32,36,99.99,3236,Info,Health Check Completed,Healthy
01-05-2026 02:30,Microsoft Teams,Production,Bengaluru,444,634,9241,3.56,13,16,85,71,99.59,2889,Warning,CPU Usage High,Warning
01-05-2026 02:30,Outlook Web,Production,Bengaluru,154,294,12227,0.26,6,1,50,70,99.99,3123,Info,Normal Operation,Healthy
01-05-2026 02:30,Payment Gateway,Production,Mumbai,494,642,5673,4.78,11,15,78,75,99.5,1638,Warning,CPU Usage High,Warning
01-05-2026 02:30,Inventory Service,Production,Bengaluru,199,283,2387,0.69,2,2,45,70,99.99,1077,Info,Cache Refresh,Healthy
01-05-2026 02:30,Order Service,Production,Mumbai,293,411,5966,0.35,0,0,45,48,99.99,2358,Info,Cache Refresh,Healthy
01-05-2026 02:30,Authentication Service,UAT,Mumbai,208,280,9332,0.58,2,2,64,64,99.99,2385,Info,Health Check Completed,Healthy
01-05-2026 03:00,Citrix Workspace,Production,Mumbai,294,433,8443,0.46,0,2,56,45,99.99,2768,Info,Normal Operation,Healthy
01-05-2026 03:00,Flipkart,Production,Mumbai,323,450,11156,0.36,6,1,53,40,99.99,4964,Info,Background Synchronization,Healthy
01-05-2026 03:00,Swiggy,Production,Bengaluru,230,380,11266,0.74,5,2,29,44,99.99,4109,Info,Service Running Normally,Healthy
01-05-2026 03:00,Blinkit,Production,Bengaluru,190,381,13504,0.53,7,1,57,38,99.99,3546,Info,Health Check Completed,Healthy
01-05-2026 03:00,Microsoft Teams,UAT,Bengaluru,200,318,9245,0.51,7,2,37,55,99.99,2786,Info,Service Running Normally,Healthy
01-05-2026 03:00,Outlook Web,Production,Mumbai,660,742,11274,2.2,26,21,83,89,99.59,2908,Warning,Queue Length Increased,Warning
01-05-2026 03:00,Payment Gateway,Production,Mumbai,256,445,7431,0.8,0,2,61,39,99.99,1800,Info,Health Check Completed,Healthy
01-05-2026 03:00,Inventory Service,Production,Mumbai,1104,1265,3993,11.3,62,116,96,94,97.35,1340,Critical,Database Connection Lost,Critical
01-05-2026 03:00,Order Service,Production,Hyderabad,243,362,9569,0.45,0,1,41,58,99.99,2471,Info,Background Synchronization,Healthy
01-05-2026 03:00,Authentication Service,Production,Mumbai,190,373,9574,0.5,1,0,35,46,99.99,2531,Info,Service Running Normally,Healthy
01-05-2026 03:30,Citrix Workspace,Production,Mumbai,681,771,8095,4.17,22,26,84,75,99.32,2372,Warning,High Request Volume,Warning
01-05-2026 03:30,Flipkart,Production,Bengaluru,255,437,12279,0.14,5,2,32,56,99.99,5001,Info,Routine Monitoring,Healthy
01-05-2026 03:30,Swiggy,Production,Bengaluru,228,404,10625,0.32,1,1,58,51,99.99,3855,Info,Routine Monitoring,Healthy
01-05-2026 03:30,Blinkit,Production,Mumbai,232,361,10452,0.23,4,0,64,38,99.99,3289,Info,Normal Operation,Healthy
01-05-2026 03:30,Microsoft Teams,Production,Bengaluru,263,329,12097,0.19,4,1,49,56,99.99,2945,Info,Cache Refresh,Healthy
01-05-2026 03:30,Outlook Web,Production,Mumbai,223,349,5490,0.4,5,1,32,66,99.99,2771,Info,Routine Monitoring,Healthy
01-05-2026 03:30,Payment Gateway,Production,Mumbai,277,364,8171,0.52,8,2,29,47,99.99,2059,Info,Background Synchronization,Healthy
01-05-2026 03:30,Inventory Service,Production,Mumbai,261,379,2433,0.77,3,1,64,60,99.99,988,Info,Routine Monitoring,Healthy
01-05-2026 03:30,Order Service,Production,Mumbai,754,876,9234,4.59,38,7,79,72,99.68,2307,Warning,High Request Volume,Warning
01-05-2026 03:30,Authentication Service,UAT,Bengaluru,153,363,7321,0.06,0,1,55,52,99.99,2682,Info,Health Check Completed,Healthy
01-05-2026 04:00,Citrix Workspace,Production,Hyderabad,294,401,8047,0.52,4,2,62,52,99.99,2282,Info,Normal Operation,Healthy
01-05-2026 04:00,Flipkart,Production,Hyderabad,355,421,21043,0.25,6,2,61,37,99.99,5073,Info,Health Check Completed,Healthy
01-05-2026 04:00,Swiggy,Production,Mumbai,258,405,9275,0.41,1,1,58,57,99.99,3889,Info,Cache Refresh,Healthy
01-05-2026 04:00,Blinkit,Production,Hyderabad,486,581,10034,1.73,18,7,85,78,99.59,3000,Warning,High API Response Time,Warning
01-05-2026 04:00,Microsoft Teams,UAT,Bengaluru,269,401,7590,0.41,2,0,37,58,99.99,2706,Info,Normal Operation,Healthy
01-05-2026 04:00,Outlook Web,Production,Hyderabad,166,234,11976,0.7,2,1,49,58,99.99,3068,Info,Background Synchronization,Healthy
01-05-2026 04:00,Payment Gateway,Production,Hyderabad,776,962,6023,1.34,24,15,89,71,99.47,1764,Warning,High API Response Time,Warning
01-05-2026 04:00,Inventory Service,UAT,Bengaluru,188,278,5477,0.45,8,0,52,49,99.99,1346,Info,Background Synchronization,Healthy
01-05-2026 04:00,Order Service,Production,Hyderabad,215,322,4756,0.26,4,0,41,62,99.99,2426,Info,Normal Operation,Healthy
01-05-2026 04:00,Authentication Service,Production,Mumbai,241,432,5966,0.7,7,0,53,46,99.99,2652,Info,Cache Refresh,Healthy
01-05-2026 04:30,Citrix Workspace,UAT,Bengaluru,238,372,8436,0.18,2,1,64,40,99.99,2702,Info,Cache Refresh,Healthy
01-05-2026 04:30,Flipkart,Production,Bengaluru,1668,1733,11730,8.99,40,203,95,92,98.03,5293,Critical,Service Crash,Critical
01-05-2026 04:30,Swiggy,Production,Bengaluru,213,374,8542,0.21,6,0,35,39,99.99,3917,Info,Service Running Normally,Healthy
01-05-2026 04:30,Blinkit,Production,Mumbai,1182,1256,9527,6.4,61,50,96,97,97.58,3017,Critical,Load Balancer Failure,Critical
01-05-2026 04:30,Microsoft Teams,Production,Bengaluru,172,383,6826,0.27,5,2,64,67,99.99,2817,Info,Routine Monitoring,Healthy
01-05-2026 04:30,Outlook Web,Production,Hyderabad,195,372,11998,0.22,2,1,44,37,99.99,3131,Info,Normal Operation,Healthy
01-05-2026 04:30,Payment Gateway,Production,Bengaluru,321,448,7429,0.52,0,1,47,59,99.99,2048,Info,Normal Operation,Healthy
01-05-2026 04:30,Inventory Service,Production,Mumbai,240,413,2492,0.77,2,1,34,56,99.99,909,Info,Normal Operation,Healthy
01-05-2026 04:30,Order Service,Production,Bengaluru,477,556,6550,1.73,35,28,88,88,99.37,2304,Warning,Queue Length Increased,Warning
01-05-2026 04:30,Authentication Service,Production,Mumbai,179,255,9082,0.5,5,0,38,58,99.99,2373,Info,Routine Monitoring,Healthy
01-05-2026 05:00,Citrix Workspace,Production,Bengaluru,453,535,10796,4.44,35,19,87,84,99.47,2640,Warning,High Request Volume,Warning
01-05-2026 05:00,Flipkart,Production,Hyderabad,329,414,9840,0.14,3,2,61,54,99.99,5027,Info,Health Check Completed,Healthy
01-05-2026 05:00,Swiggy,Production,Hyderabad,306,397,15802,0.12,8,2,27,64,99.99,4145,Info,Cache Refresh,Healthy
01-05-2026 05:00,Blinkit,Production,Mumbai,1451,1545,8483,10.74,32,163,98,96,98.65,3448,Critical,Authentication Service Unavailable,Critical
01-05-2026 05:00,Microsoft Teams,Production,Mumbai,207,274,9520,0.65,6,2,34,54,99.99,2643,Info,Health Check Completed,Healthy
01-05-2026 05:00,Outlook Web,Production,Hyderabad,197,385,9987,0.13,5,1,61,40,99.99,3120,Info,Health Check Completed,Healthy
01-05-2026 05:00,Payment Gateway,UAT,Hyderabad,1166,1310,6493,7.38,37,124,90,98,97.96,2002,Critical,Checkout API Timeout,Critical
01-05-2026 05:00,Inventory Service,UAT,Hyderabad,210,424,4164,0.55,8,0,59,52,99.99,1150,Info,Service Running Normally,Healthy
01-05-2026 05:00,Order Service,Production,Bengaluru,212,403,7288,0.5,1,1,54,58,99.99,2524,Info,Cache Refresh,Healthy
01-05-2026 05:00,Authentication Service,UAT,Bengaluru,180,356,8517,0.07,1,0,30,39,99.99,2526,Info,Health Check Completed,Healthy
